Type	Class	Masa	Tithi	Visible	Fast Subject	Text	FastType	Used	Start Year	Spec	SpecRef	Sanskranti	Offset
T	3	0	6	1		Sri Abhirama Thakura -- Disappearance	0	1	-10000				
T	3	0	9	1		Srila Vrndavana Dasa Thakura -- Disappearance	0	1	-10000				
T	3	0	14	1		Sri Gadadhara Pandita -- Appearance	0	1	-10000				
T	1	0	17	1		Aksaya Trtiya. Candana Yatra starts. (Continues for 21 days)	0	1	-10000				
T	5	0	21	1		Jahnu Saptami	0	1	-10000				
T	1	0	23	1		Srimati Sita Devi (consort of Lord Sri Rama) -- Appearance	0	1	-10000				
T	3	0	23	1		Sri Madhu Pandita -- Disappearance	0	1	-10000				
T	3	0	23	1		Srimati Jahnava Devi -- Appearance	0	1	-10000				
T	1	0	26	1		Rukmini Dvadasi	0	1	-10000				
T	4	0	27	1		Sri Jayananda Prabhu -- Disappearance	0	1	-10000				
T	0	0	28	1	Lord Nrsimhadeva	Nrsimha Caturdasi: Appearance of Lord Nrsimhadeva	4	1	-10000				
T	1	0	29	1		Krsna Phula Dola, Salila Vihara	0	1	-10000				
T	3	0	29	1		Sri Paramesvari Dasa Thakura -- Disappearance	0	1	-10000				
T	1	0	29	1		Sri Sri Radha-Ramana Devaji -- Appearance	0	1	-10000				
T	3	0	29	1		Sri Madhavendra Puri -- Appearance	0	1	-10000				
T	3	0	29	1		Sri Srinivasa Acarya -- Appearance	0	1	-10000				
T	3	1	4	1		Sri Ramananda Raya -- Disappearance	0	1	-10000				
T	3	1	11	1		Srila Vrndavana Dasa Thakura -- Appearance	0	1	-10000				
T	3	1	24	1		Sri Baladeva Vidyabhusana -- Disappearance	0	1	-10000				
T	1	1	24	1		Ganga Puja	0	1	-10000				
T	3	1	24	1		Srimati Gangamata Gosvamini -- Appearance	0	1	-10000				
T	1	1	27	1		Panihati Cida Dahi Utsava	0	1	-10000				
T	1	1	29	1		Snana Yatra	0	1	-10000				
T	3	1	29	1		Sri Mukunda Datta -- Disappearance	0	1	-10000				
T	3	1	29	1		Sri Sridhara Pandita -- Disappearance	0	1	-10000				
T	3	2	0	1		Sri Syamananda Prabhu -- Disappearance	0	1	-10000				
T	3	2	4	1		Sri Vakresvara Pandita -- Appearance	0	1	-10000				
T	3	2	9	1		Sri Srivasa Pandita -- Disappearance	0	1	-10000				
T	3	2	14	1		Sri Gadadhara Pandita -- Disappearance	0	1	-10000				
T	2	2	14	1	Bhaktivinoda Thakura	Srila Bhaktivinoda Thakura -- Disappearance	1	1	-10000				
T	3	2	16	1		Sri Svarupa Damodara Gosvami -- Disappearance	0	1	-10000				
T	3	2	16	1		Sri Sivananda Sena -- Disappearance	0	1	-10000				
T	3	2	20	1		Sri Vakresvara Pandita -- Disappearance	0	1	-10000				
T	1	2	29	1		Guru (Vyasa) Purnima	0	1	-10000				
T	3	2	29	1		Srila Sanatana Gosvami -- Disappearance	0	1	-10000				
T	3	3	4	1		Srila Gopala Bhatta Gosvami -- Disappearance	0	1	-10000				
T	3	3	7	1		Srila Lokanatha Gosvami -- Disappearance	0	1	-10000				
T	4	3	8	1		The incorporation of ISKCON in New York	0	1	-10000				
T	3	3	18	1		Sri Raghunandana Thakura -- Disappearance	0	1	-10000				
